timestamp,asset_id,price,size,side,best_bid,best_ask
1771591942593,NO,0.22,444,BUY,0.23,0.24
1771591942593,YES,0.78,444,SELL,0.76,0.77
1771591942602,NO,0.23,1042.67,BUY,0.23,0.24
1771591942602,YES,0.77,1042.67,SELL,0.76,0.77
1771591942602,YES,0.77,1042.67,SELL,0.76,0.77
1771591942602,NO,0.23,1042.67,BUY,0.23,0.24
1771591942605,YES,0.75,13,BUY,0.76,0.77
1771591942605,NO,0.25,13,SELL,0.23,0.24
1771591942645,YES,0.74,389.72,BUY,0.76,0.77
1771591942645,NO,0.26,389.72,SELL,0.23,0.24
1771591942670,NO,0.21,439,BUY,0.23,0.24
1771591942670,YES,0.79,439,SELL,0.76,0.77
1771591942671,YES,0.72,1389,BUY,0.76,0.77
1771591942671,NO,0.28,1389,SELL,0.23,0.24
1771591942706,YES,0.74,394.72,BUY,0.76,0.77
1771591942706,NO,0.26,394.72,SELL,0.23,0.24
1771591942714,NO,0.21,449,BUY,0.23,0.24
1771591942714,YES,0.79,449,SELL,0.76,0.77
1771591942721,YES,0.71,495.88,BUY,0.76,0.77
1771591942721,NO,0.29,495.88,SELL,0.23,0.24
1771591942753,YES,0.72,1422.49,BUY,0.76,0.77
1771591942753,NO,0.28,1422.49,SELL,0.23,0.24
1771591942760,NO,0.23,1076.16,BUY,0.23,0.24
1771591942760,YES,0.77,1076.16,SELL,0.76,0.77
1771591942761,NO,0.21,454,BUY,0.23,0.24
1771591942761,YES,0.79,454,SELL,0.76,0.77
1771591942777,YES,0.72,462.49,BUY,0.76,0.77
1771591942777,NO,0.28,462.49,SELL,0.23,0.24
1771591942779,YES,0.72,282.49,BUY,0.76,0.77
1771591942779,NO,0.28,282.49,SELL,0.23,0.24
1771591942787,NO,0.3,825.15,SELL,0.23,0.24
1771591942787,YES,0.7,825.15,BUY,0.76,0.77
1771591942793,YES,0.8,489,SELL,0.76,0.77
1771591942793,NO,0.2,489,BUY,0.23,0.24
1771591942814,YES,0.71,508.88,BUY,0.76,0.77
1771591942814,NO,0.29,508.88,SELL,0.23,0.24
1771591942826,YES,0.77,1086.16,SELL,0.76,0.77
1771591942826,NO,0.23,1086.16,BUY,0.23,0.24
1771591942885,YES,0.74,389.72,BUY,0.76,0.77
1771591942885,NO,0.26,389.72,SELL,0.23,0.24
1771591942915,NO,0.12,489,BUY,0.23,0.24
1771591942915,YES,0.88,489,SELL,0.76,0.77
1771591942939,YES,0.76,3,BUY,0.76,0.77
1771591942939,NO,0.24,3,SELL,0.23,0.24
1771591942946,NO,0.21,377,BUY,0.23,0.24
1771591942946,YES,0.79,377,SELL,0.76,0.77
1771591942948,NO,0.22,214,BUY,0.23,0.24
1771591942948,YES,0.78,214,SELL,0.76,0.77
1771591942990,YES,0.76,1.53,BUY,0.76,0.77
1771591942990,NO,0.24,1.53,SELL,0.23,0.24
1771591943006,YES,0.76,6.53,BUY,0.76,0.77
1771591943006,NO,0.24,6.53,SELL,0.23,0.24
1771591943025,YES,0.01,9016.24,BUY,0.76,0.77
1771591943025,NO,0.99,9016.24,SELL,0.23,0.24
1771591943031,NO,0.27,93,SELL,0.23,0.24
1771591943031,YES,0.73,93,BUY,0.76,0.77
1771591943032,NO,0.3,815.15,SELL,0.23,0.24
1771591943032,YES,0.7,815.15,BUY,0.76,0.77
1771591943033,YES,0.77,1076.16,SELL,0.76,0.77
1771591943033,NO,0.23,1076.16,BUY,0.23,0.24
1771591943034,YES,0.71,495.85,BUY,0.76,0.77
1771591943034,NO,0.29,495.85,SELL,0.23,0.24
1771591943039,YES,0.7,805.15,BUY,0.76,0.77
1771591943039,NO,0.3,805.15,SELL,0.23,0.24
1771591943053,NO,0.2,499,BUY,0.23,0.24
1771591943053,YES,0.8,499,SELL,0.76,0.77
1771591943060,YES,0.72,295.8,BUY,0.76,0.77
1771591943060,NO,0.28,295.8,SELL,0.23,0.24
1771591943064,YES,0.8,509,SELL,0.76,0.77
1771591943064,NO,0.2,509,BUY,0.23,0.24
1771591943069,NO,0.3,795.15,SELL,0.23,0.24
1771591943069,YES,0.7,795.15,BUY,0.76,0.77
1771591943096,YES,0.76,11.53,BUY,0.76,0.77
1771591943096,NO,0.24,11.53,SELL,0.23,0.24
1771591943100,NO,0.19,482.82,BUY,0.23,0.24
1771591943100,YES,0.81,482.82,SELL,0.76,0.77
1771591943101,YES,0.76,26.53,BUY,0.76,0.77
1771591943101,NO,0.24,26.53,SELL,0.23,0.24
1771591943114,NO,0.23,1063.17,BUY,0.23,0.24
1771591943114,YES,0.77,1063.17,SELL,0.76,0.77
1771591943130,YES,0.72,282.49,BUY,0.76,0.77
1771591943130,NO,0.28,282.49,SELL,0.23,0.24
1771591943132,YES,0.76,40.53,BUY,0.76,0.77
1771591943132,NO,0.24,40.53,SELL,0.23,0.24
1771591943146,YES,0.76,45.53,BUY,0.76,0.77
1771591943146,NO,0.24,45.53,SELL,0.23,0.24
1771591943156,YES,0.71,508.88,BUY,0.76,0.77
1771591943156,NO,0.29,508.88,SELL,0.23,0.24
1771591943176,NO,0.23,1058.17,BUY,0.23,0.24
1771591943176,YES,0.77,1058.17,SELL,0.76,0.77
1771591943222,NO,0.22,94,BUY,0.23,0.24
1771591943222,YES,0.78,94,SELL,0.76,0.77
1771591943251,YES,0.76,40.53,BUY,0.76,0.77
1771591943251,NO,0.24,40.53,SELL,0.23,0.24
1771591943262,YES,0.01,9011.24,BUY,0.76,0.77
1771591943262,NO,0.99,9011.24,SELL,0.23,0.24
1771591943263,NO,0.27,103,SELL,0.23,0.24
1771591943263,YES,0.73,103,BUY,0.76,0.77
1771591943264,YES,0.8,519,SELL,0.76,0.77
1771591943264,NO,0.2,519,BUY,0.23,0.24
1771591943265,NO,0.27,113,SELL,0.23,0.24
1771591943265,YES,0.73,113,BUY,0.76,0.77
1771591943269,YES,0.73,123,BUY,0.76,0.77
1771591943269,NO,0.27,123,SELL,0.23,0.24
1771591943279,YES,0.74,379.72,BUY,0.76,0.77
1771591943279,NO,0.26,379.72,SELL,0.23,0.24
1771591943307,YES,0.75,23,BUY,0.76,0.77
1771591943307,NO,0.25,23,SELL,0.23,0.24
1771591943379,YES,0.53,492.98,BUY,0.76,0.77
1771591943379,NO,0.47,492.98,SELL,0.23,0.24
1771591943446,NO,0.1,1092.66,BUY,0.23,0.24
1771591943446,YES,0.9,1092.66,SELL,0.76,0.77
1771591943520,NO,0.23,1056.87,BUY,0.23,0.24
1771591943520,YES,0.77,1056.87,SELL,0.76,0.77
1771591943529,YES,0.64,451.75,BUY,0.76,0.77
1771591943529,NO,0.36,451.75,SELL,0.23,0.24
1771591943548,YES,0.74,384.72,BUY,0.76,0.77
1771591943548,NO,0.26,384.72,SELL,0.23,0.24
1771591943549,YES,0.74,504.72,BUY,0.76,0.77
1771591943549,NO,0.26,504.72,SELL,0.23,0.24
1771591943551,YES,0.73,243,BUY,0.76,0.77
1771591943551,NO,0.27,243,SELL,0.23,0.24
1771591943594,NO,0.22,99,BUY,0.23,0.24
1771591943594,YES,0.78,99,SELL,0.76,0.77
1771591943703,YES,0.76,39.43,BUY,0.76,0.77
1771591943703,NO,0.24,39.43,SELL,0.23,0.24
1771591943718,YES,0.74,447.84,BUY,0.74,0.77
1771591943718,NO,0.26,447.84,SELL,0.23,0.26
1771591943718,YES,0.76,0,BUY,0.74,0.77
1771591943718,NO,0.24,0,SELL,0.23,0.26
1771591943718,YES,0.75,0,BUY,0.74,0.77
1771591943718,NO,0.25,0,SELL,0.23,0.26
1771591943786,YES,0.74,441.84,BUY,0.74,0.77
1771591943786,NO,0.26,441.84,SELL,0.23,0.26
1771591943908,NO,0.21,372,BUY,0.23,0.26
1771591943908,YES,0.79,372,SELL,0.74,0.77
1771591943909,YES,0.74,436.84,BUY,0.74,0.77
1771591943909,NO,0.26,436.84,SELL,0.23,0.26
1771591943951,YES,0.72,287.49,BUY,0.74,0.77
1771591943951,NO,0.28,287.49,SELL,0.23,0.26
1771591944000,NO,0.21,377,BUY,0.23,0.26
1771591944000,YES,0.79,377,SELL,0.74,0.77
1771591944094,NO,0.23,1055.57,BUY,0.23,0.26
1771591944094,YES,0.77,1055.57,SELL,0.74,0.77
1771591944100,NO,0.23,1049.49,BUY,0.23,0.26
1771591944100,YES,0.77,1049.49,SELL,0.74,0.77
1771591944145,YES,0.15,165,BUY,0.74,0.77
1771591944145,NO,0.85,165,SELL,0.23,0.26
1771591944275,NO,0.01,8066.42,BUY,0.23,0.26
1771591944275,YES,0.99,8066.42,SELL,0.74,0.77
1771591944340,YES,0.73,255,BUY,0.74,0.77
1771591944340,NO,0.27,255,SELL,0.23,0.26
1771591944407,YES,0.53,482.98,BUY,0.74,0.77
1771591944407,NO,0.47,482.98,SELL,0.23,0.26
1771591944465,YES,0.43,460,BUY,0.74,0.77
1771591944465,NO,0.57,460,SELL,0.23,0.26
1771591944493,NO,0.21,367,BUY,0.23,0.26
1771591944493,YES,0.79,367,SELL,0.74,0.77
1771591944510,YES,0.74,431.82,BUY,0.74,0.77
1771591944510,NO,0.26,431.82,SELL,0.23,0.26
1771591944513,YES,0.43,466,BUY,0.74,0.77
1771591944513,NO,0.57,466,SELL,0.23,0.26
