timestamp,asset_id,price,size,side,best_bid,best_ask
1771354278645,NO,0.19,0,BUY,0.2,0.26
1771354278645,YES,0.81,0,SELL,0.74,0.8
1771354278647,YES,0.73,100,BUY,0.74,0.8
1771354278647,NO,0.27,100,SELL,0.2,0.26
1771354278648,YES,0.74,3640,BUY,0.74,0.8
1771354278648,NO,0.26,3640,SELL,0.2,0.26
1771354278659,NO,0.2,3740,BUY,0.2,0.26
1771354278659,YES,0.8,3740,SELL,0.74,0.8
1771354280077,NO,0.2,100,BUY,0.2,0.26
1771354280077,YES,0.8,100,SELL,0.74,0.8
1771354280136,NO,0.21,3640,BUY,0.21,0.26
1771354280136,YES,0.79,3640,SELL,0.74,0.79
1771354281706,YES,0.02,375.29,BUY,0.74,0.79
1771354281706,NO,0.98,375.29,SELL,0.21,0.26
1771354281706,YES,0.1,216,BUY,0.74,0.79
1771354281706,NO,0.9,216,SELL,0.21,0.26
1771354282232,YES,0.72,11.71,BUY,0.74,0.79
1771354282232,NO,0.28,11.71,SELL,0.21,0.26
1771354282233,NO,0.2,0,BUY,0.21,0.26
1771354282233,YES,0.8,0,SELL,0.74,0.79
1771354282233,YES,0.73,0,BUY,0.74,0.79
1771354282233,NO,0.27,0,SELL,0.21,0.26
1771354282234,NO,0.21,3740,BUY,0.21,0.26
1771354282234,YES,0.79,3740,SELL,0.74,0.79
1771354285240,YES,0.73,100,BUY,0.74,0.79
1771354285240,NO,0.27,100,SELL,0.21,0.26
1771354285241,NO,0.2,100,BUY,0.21,0.26
1771354285241,YES,0.8,100,SELL,0.74,0.79
1771354285243,YES,0.72,0,BUY,0.74,0.79
1771354285243,NO,0.28,0,SELL,0.21,0.26
1771354285259,NO,0.21,3640,BUY,0.21,0.26
1771354285259,YES,0.79,3640,SELL,0.74,0.79
1771354288215,NO,0.21,3740,BUY,0.21,0.26
1771354288215,YES,0.79,3740,SELL,0.74,0.79
1771354288216,YES,0.72,11.71,BUY,0.74,0.79
1771354288216,NO,0.28,11.71,SELL,0.21,0.26
1771354288218,YES,0.73,0,BUY,0.74,0.79
1771354288218,NO,0.27,0,SELL,0.21,0.26
1771354288227,NO,0.2,0,BUY,0.21,0.26
1771354288227,YES,0.8,0,SELL,0.74,0.79
1771354288801,NO,0.2,100,BUY,0.21,0.26
1771354288801,YES,0.8,100,SELL,0.74,0.79
1771354288801,NO,0.21,3640,BUY,0.21,0.26
1771354288801,YES,0.79,3640,SELL,0.74,0.79
1771354288805,YES,0.72,0,BUY,0.74,0.79
1771354288805,NO,0.28,0,SELL,0.21,0.26
1771354288807,YES,0.73,100,BUY,0.74,0.79
1771354288807,NO,0.27,100,SELL,0.21,0.26
1771354291394,YES,0.73,0,BUY,0.74,0.79
1771354291394,NO,0.27,0,SELL,0.21,0.26
1771354291394,YES,0.72,11.71,BUY,0.74,0.79
1771354291394,NO,0.28,11.71,SELL,0.21,0.26
1771354291397,NO,0.21,3740,BUY,0.21,0.26
1771354291397,YES,0.79,3740,SELL,0.74,0.79
1771354291398,NO,0.2,0,BUY,0.21,0.26
1771354291398,YES,0.8,0,SELL,0.74,0.79
1771354291965,YES,0.73,100,BUY,0.74,0.79
1771354291965,NO,0.27,100,SELL,0.21,0.26
1771354291966,YES,0.72,0,BUY,0.74,0.79
1771354291966,NO,0.28,0,SELL,0.21,0.26
1771354291971,NO,0.21,3640,BUY,0.21,0.26
1771354291971,YES,0.79,3640,SELL,0.74,0.79
1771354291972,NO,0.2,100,BUY,0.21,0.26
1771354291972,YES,0.8,100,SELL,0.74,0.79
1771354300220,NO,0.2,0,BUY,0.21,0.26
1771354300220,YES,0.8,0,SELL,0.74,0.79
1771354300221,YES,0.72,11.71,BUY,0.74,0.79
1771354300221,NO,0.28,11.71,SELL,0.21,0.26
1771354300223,YES,0.73,0,BUY,0.74,0.79
1771354300223,NO,0.27,0,SELL,0.21,0.26
1771354300226,NO,0.21,3740,BUY,0.21,0.26
1771354300226,YES,0.79,3740,SELL,0.74,0.79
1771354300252,NO,0.21,3640,BUY,0.21,0.26
1771354300252,YES,0.79,3640,SELL,0.74,0.79
1771354300326,NO,0.21,3740,BUY,0.21,0.26
1771354300326,YES,0.79,3740,SELL,0.74,0.79
1771354301304,YES,0.71,0,BUY,0.74,0.79
1771354301304,NO,0.29,0,SELL,0.21,0.26
1771354301330,NO,0.21,100,BUY,0.21,0.26
1771354301330,YES,0.79,100,SELL,0.74,0.79
1771354301619,NO,0.21,3740,BUY,0.21,0.26
1771354301619,YES,0.79,3740,SELL,0.74,0.79
