timestamp,asset_id,price,size,side,best_bid,best_ask
1771427119620,NO,0.43,0,BUY,0.44,0.48
1771427119620,YES,0.57,0,SELL,0.52,0.56
1771427119631,NO,0.44,2200,BUY,0.44,0.48
1771427119631,YES,0.56,2200,SELL,0.52,0.56
1771427119658,NO,0.44,2100,BUY,0.44,0.48
1771427119658,YES,0.56,2100,SELL,0.52,0.56
1771427119694,YES,0.5,0,BUY,0.52,0.56
1771427119694,NO,0.5,0,SELL,0.44,0.48
1771427119728,NO,0.43,100,BUY,0.44,0.48
1771427119728,YES,0.57,100,SELL,0.52,0.56
1771427119734,YES,0.51,2100,BUY,0.52,0.56
1771427119734,NO,0.49,2100,SELL,0.44,0.48
1771427121208,NO,0.44,2200,BUY,0.44,0.48
1771427121208,YES,0.56,2200,SELL,0.52,0.56
1771427121209,NO,0.43,0,BUY,0.44,0.48
1771427121209,YES,0.57,0,SELL,0.52,0.56
1771427121458,NO,0.44,100,BUY,0.44,0.48
1771427121458,YES,0.56,100,SELL,0.52,0.56
1771427121458,YES,0.51,0,BUY,0.52,0.56
1771427121458,NO,0.49,0,SELL,0.44,0.48
1771427121659,YES,0.5,2100,BUY,0.52,0.56
1771427121659,NO,0.5,2100,SELL,0.44,0.48
1771427121781,NO,0.45,2100,BUY,0.45,0.48
1771427121781,YES,0.55,2100,SELL,0.52,0.55
1771427121932,NO,0.43,100,BUY,0.45,0.48
1771427121932,YES,0.57,100,SELL,0.52,0.55
1771427121934,NO,0.44,0,BUY,0.45,0.48
1771427121934,YES,0.56,0,SELL,0.52,0.55
1771427122009,NO,0.44,100,BUY,0.45,0.48
1771427122009,YES,0.56,100,SELL,0.52,0.55
1771427122009,NO,0.43,0,BUY,0.45,0.48
1771427122009,YES,0.57,0,SELL,0.52,0.55
1771427124624,NO,0.44,0,BUY,0.45,0.48
1771427124624,YES,0.56,0,SELL,0.52,0.55
1771427124630,NO,0.43,100,BUY,0.45,0.48
1771427124630,YES,0.57,100,SELL,0.52,0.55
1771427124634,NO,0.45,0,BUY,0.43,0.48
1771427124634,YES,0.55,0,SELL,0.52,0.57
1771427124634,YES,0.5,0,BUY,0.52,0.57
1771427124634,NO,0.5,0,SELL,0.43,0.48
1771427124695,YES,0.51,2100,BUY,0.52,0.57
1771427124695,NO,0.49,2100,SELL,0.43,0.48
1771427124746,NO,0.43,2200,BUY,0.43,0.48
1771427124746,YES,0.57,2200,SELL,0.52,0.57
1771427124921,YES,0.51,0,BUY,0.52,0.57
1771427124921,NO,0.49,0,SELL,0.43,0.48
1771427125070,YES,0.51,2100,BUY,0.52,0.57
1771427125070,NO,0.49,2100,SELL,0.43,0.48
1771427125335,NO,0.07,152.85,BUY,0.43,0.48
1771427125335,YES,0.93,152.85,SELL,0.52,0.57
1771427125335,NO,0.21,17,BUY,0.43,0.48
1771427125335,YES,0.79,17,SELL,0.52,0.57
1771427125335,NO,0.01,3099.1,BUY,0.43,0.48
1771427125335,YES,0.99,3099.1,SELL,0.52,0.57
1771427125335,NO,0.11,10,BUY,0.43,0.48
1771427125335,YES,0.89,10,SELL,0.52,0.57
1771427125399,NO,0.01,2099.1,BUY,0.43,0.48
1771427125399,YES,0.99,2099.1,SELL,0.52,0.57
1771427125399,NO,0.02,255,BUY,0.43,0.48
1771427125399,YES,0.98,255,SELL,0.52,0.57
1771427125982,NO,0.43,100,BUY,0.43,0.48
1771427125982,YES,0.57,100,SELL,0.52,0.57
1771427126009,YES,0.51,0,BUY,0.52,0.57
1771427126009,NO,0.49,0,SELL,0.43,0.48
1771427126017,NO,0.43,2200,BUY,0.43,0.48
1771427126017,YES,0.57,2200,SELL,0.52,0.57
1771427126058,YES,0.51,2100,BUY,0.52,0.57
1771427126058,NO,0.49,2100,SELL,0.43,0.48
1771427126249,YES,0.51,0,BUY,0.52,0.57
1771427126249,NO,0.49,0,SELL,0.43,0.48
1771427126291,YES,0.52,2106.15,BUY,0.52,0.57
1771427126291,NO,0.48,2106.15,SELL,0.43,0.48
1771427126569,NO,0.42,100,BUY,0.43,0.48
1771427126569,YES,0.58,100,SELL,0.52,0.57
1771427126570,NO,0.43,2100,BUY,0.43,0.48
1771427126570,YES,0.57,2100,SELL,0.52,0.57
1771427126646,NO,0.43,2200,BUY,0.43,0.48
1771427126646,YES,0.57,2200,SELL,0.52,0.57
1771427126648,NO,0.42,0,BUY,0.43,0.48
1771427126648,YES,0.58,0,SELL,0.52,0.57
1771427126689,NO,0.43,2100,BUY,0.43,0.48
1771427126689,YES,0.57,2100,SELL,0.52,0.57
1771427126739,NO,0.42,100,BUY,0.43,0.48
1771427126739,YES,0.58,100,SELL,0.52,0.57
1771427127148,NO,0.42,0,BUY,0.43,0.48
1771427127148,YES,0.58,0,SELL,0.52,0.57
1771427127166,NO,0.43,2200,BUY,0.43,0.48
